idx,sentence,followup,response,stype,ftype,OP1_type,OP2_type,OP1,OP2,comments,slide_number_in_experiment,wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,6,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,and I know which episode.,7,S,F1,MDL,IND,probably,a/an,,7,OP2_wide
2,I watched an episode of Tom and Jerry that I love...,and I know which episode.,2,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,22,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,7,S,F2,MDL,IND,probably,a/an,it adds more detail,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,5,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,2,S,F2,MDL,IND,probably,a/an,,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
2,I will probably watch an episode of Tom and Jerry that I love...,but I don't know which episode.,7,S,F2,MDL,IND,probably,a/an,They don't even know if they will watch an episode,5,OP1_wide
2,I watched an episode of Tom and Jerry that I love...,but I don't know which episode.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,They already watched it so they should know what episode,10,NA_CONTROL
3,A classmate of mine told me they love me...,and I know which one.,2,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"If they told you, then of course you know which one, blue phrase is redundant.",10,NA_CONTROL
3,A classmate of mine told me they love me...,and I know which one.,6,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
3,A classmate of mine told me they love me...,but I don't know which one.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,20,NA_CONTROL
3,A classmate of mine told me they love me...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,If they told you then its obvious you know which one,10,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,2,S,F2,MDL,IND,must,a/an,"In my opinion, the first part implies that the person knows who the classmate is.",5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,5,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine must tell me they love me...,but I don't know which one.,3,S,F2,MDL,IND,must,a/an,Not knowing who feels very odd.,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,6,S,F1,MDL,IND,must,a/an,"Simple and to the point, they know who.",16,OP2_wide
3,A classmate of mine must tell me they love me...,but I don't know which one.,5,S,F2,MDL,IND,must,a/an,,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,6,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,20,NA_CONTROL
3,A classmate of mine told me they love me...,and I know which one.,5,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,3,S,F2,MDL,IND,must,a/an,doesn't really make sense,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,7,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine must tell me they love me...,but I don't know which one.,4,S,F2,MDL,IND,must,a/an,,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,6,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,and I know which one.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,6,S,F2,MDL,IND,must,a/an,Unusual but in today's classrooms (& I'm a teacher) it wouldn't be out of place,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,2,S,F1,MDL,IND,must,a/an,Why use must? It makes the rest of the sentence confusing,16,OP2_wide
3,A classmate of mine must tell me they love me...,but I don't know which one.,2,S,F2,MDL,IND,must,a/an,That not something another would choose to say,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,5,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine must tell me they love me...,but I don't know which one.,2,S,F2,MDL,IND,must,a/an,,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,4,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,but I don't know which one.,4,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,May not be referring to a conversation could be message / text etc so not impossible ,20,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,1,S,F2,MDL,IND,must,a/an,Unnatural because it doesnâ€™t follow the narrative. ,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,1,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,20,NA_CONTROL
3,A classmate of mine told me they love me...,but I don't know which one.,4,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,if they told them then theyd know but its possible they could have wrote secret note,20,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,6,S,F2,MDL,IND,must,a/an,,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,5,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine must tell me they love me...,but I don't know which one.,5,S,F2,MDL,IND,must,a/an,,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,5,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,but I don't know which one.,5,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,20,NA_CONTROL
3,A classmate of mine told me they love me...,but I don't know which one.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,20,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,5,S,F2,MDL,IND,must,a/an,,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,7,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,and I know which one.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,10,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,4,S,F2,MDL,IND,must,a/an,"Because we don't know how the writer knows that a classmate must tell them that they love them. It's very possible that they've been informed of a dare taking place for example, which means than the continuation would be natural. But if the writer hasn't been given any information, then the second phrase sounds unnatural. ",5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,7,S,F1,MDL,IND,must,a/an,,16,OP2_wide
3,A classmate of mine told me they love me...,but I don't know which one.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"if they have spoken to me I would know who they are, this is unnatural continuation",20,NA_CONTROL
3,A classmate of mine must tell me they love me...,but I don't know which one.,4,S,F2,MDL,IND,must,a/an,The first part didn't make much sense so the second part was neutral,5,OP1_wide
3,A classmate of mine must tell me they love me...,and I know which one.,3,S,F1,MDL,IND,must,a/an,First yellow part doesn't make much sense but the second blue part could follow,16,OP2_wide
3,A classmate of mine told me they love me...,but I don't know which one.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"If he was told by a classmate, he would know who told him...",20,NA_CONTROL
4,I found some days this week to be sunny...,and I know which days.,2,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I found some days this week to be sunny...,and I know which days.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I found some days this week to be sunny...,and I know which days.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I found some days this week to be sunny...,but I don't know which days.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I may find some days this week to be sunny...,but I don't know which days.,4,S,F2,MDL,QD,may,some,Both sentences correlate but they don't Cound completely natural,11,OP1_wide
4,I found some days this week to be sunny...,but I don't know which days.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I may find some days this week to be sunny...,but I don't know which days.,6,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,and I know which days.,5,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I may find some days this week to be sunny...,but I don't know which days.,5,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I may find some days this week to be sunny...,and I know which days.,3,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,and I know which days.,1,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,but I don't know which days.,5,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I may find some days this week to be sunny...,but I don't know which days.,5,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,and I know which days.,4,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I may find some days this week to be sunny...,but I don't know which days.,2,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,and I know which days.,7,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I may find some days this week to be sunny...,and I know which days.,1,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,and I know which days.,5,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I found some days this week to be sunny...,and I know which days.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I may find some days this week to be sunny...,and I know which days.,4,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,but I don't know which days.,2,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,but I don't know which days.,7,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I may find some days this week to be sunny...,but I don't know which days.,2,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,but I don't know which days.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I found some days this week to be sunny...,but I don't know which days.,4,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I may find some days this week to be sunny...,and I know which days.,3,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I found some days this week to be sunny...,but I don't know which days.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I found some days this week to be sunny...,but I don't know which days.,5,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I may find some days this week to be sunny...,and I know which days.,2,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,and I know which days.,1,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,and I know which days.,1,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,but I don't know which days.,4,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,but I don't know which days.,3,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"if some of the days were sunny, they have happened already, so I would know which days - unnatural continuation",23,NA_CONTROL
4,I may find some days this week to be sunny...,and I know which days.,3,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I found some days this week to be sunny...,and I know which days.,2,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I may find some days this week to be sunny...,and I know which days.,1,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,but I don't know which days.,6,S,F2,MDL,QD,may,some,Slightly odd phrasing but itâ€™s ok,11,OP1_wide
4,I found some days this week to be sunny...,and I know which days.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,16,NA_CONTROL
4,I found some days this week to be sunny...,but I don't know which days.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,23,NA_CONTROL
4,I may find some days this week to be sunny...,but I don't know which days.,4,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I may find some days this week to be sunny...,and I know which days.,4,S,F1,MDL,QD,may,some,,24,OP2_wide
4,I may find some days this week to be sunny...,but I don't know which days.,1,S,F2,MDL,QD,may,some,"Unless they're talking about the sunniness as a metaphor fot.r their feelings, this dosen't make sense. It being sunny outside or not is a fac",11,OP1_wide
4,I may find some days this week to be sunny...,but I don't know which days.,4,S,F2,MDL,QD,may,some,,11,OP1_wide
4,I found some days this week to be sunny...,and I know which days.,2,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,Then why not say what days,16,NA_CONTROL
5,I gave myself some tattoos...,and I know which ones.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I gave myself some tattoos...,and I know which ones.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I gave myself some tattoos...,and I know which ones.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I will probably give myself some tattoos...,and I know which ones.,3,S,F1,MDL,QD,probably,some,,23,OP2_wide
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,1,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I gave myself some tattoos...,and I know which ones.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,you'd know if you gave them to yourself,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,6,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"Unnatural, you'd know which tattoos you gave yourself.",11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,7,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I gave myself some tattoos...,and I know which ones.,3,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I will probably give myself some tattoos...,and I know which ones.,7,S,F1,MDL,QD,probably,some,,23,OP2_wide
5,I gave myself some tattoos...,and I know which ones.,7,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,7,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I gave myself some tattoos...,and I know which ones.,1,Sc,F1,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,17,NA_CONTROL
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,"The same reason as the previous (Tom and Jerry) phrase, if the speaker had got some tattoos (and particularly if they'd done the tattoos themselves) they would know what they were.",11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,7,S,F2,MDL,QD,probably,some,It seems quite natural - the speaker hasn't made their mind up yet. ,19,OP1_wide
5,I will probably give myself some tattoos...,and I know which ones.,2,S,F1,MDL,QD,probably,some,,23,OP2_wide
5,I gave myself some tattoos...,but I don't know which ones.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,6,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,2,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I gave myself some tattoos...,but I don't know which ones.,2,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,7,S,F2,MDL,QD,probably,some,,19,OP1_wide
5,I will probably give myself some tattoos...,and I know which ones.,4,S,F1,MDL,QD,probably,some,,23,OP2_wide
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,1,S,F2,MDL,QD,probably,some,referring to actions of self ,19,OP1_wide
5,I gave myself some tattoos...,but I don't know which ones.,1,Sc,F2,NA_CONTROL,NA_CONTROL,NA_CONTROL,NA_CONTROL,,11,NA_CONTROL
5,I will probably give myself some tattoos...,but I don't know which ones.,7,S,F2,MDL,QD,probably,some,,19,OP1_wide
